0.22,0.15,2.275
0.46,0.01,4.9682
0.55,0.63,3.6313
0.47,0.04,5.0102
0.05,0.88,-0.71169
0.07,0.79,-0.40265
0.45,0.02,4.9119
0.96,0.44,0.12658
0.38,0.09,4.3101
0.77,0.39,1.8734
0.73,0.14,2.93
0.61,0.04,4.4568
0.12,0.18,1.1171
0.45,0.37,4.1283
0.09,0.4,0.58295
0.72,0.07,3.1607
0.42,0.92,2.963
0.83,0.5,1.0957
0.79,0.46,1.5434
0.26,0.18,2.7333
0.22,0.95,0.76345
0.27,0.21,2.7938
0.7,0.18,3.3188
0.85,0.07,1.598
0.34,0.49,3.1615
0.9,0.97,-0.57879
0.28,0.53,2.3265
0.87,0.43,0.78274
0.56,0.13,4.5893
0.62,0.95,2.5198
0.09,0.93,-0.53236
0.83,0.33,1.3726
0.06,0.05,1.0246
0.1,0.51,0.36247
0.9,0.43,0.50849
0.88,0.96,-0.45962
0.15,0.98,-0.11364
0.66,0.34,3.288
0.09,0.04,1.2035
0.04,0.35,0.34545
0.22,0.94,0.68845
0.18,0.67,0.81461
0.17,0.21,1.6216
1,0.59,-0.14324
0.29,0.73,1.9564
0.42,0.56,3.6008
0.81,0.32,1.6675
0.62,0.42,3.5479
0.33,0.12,3.7281
0.41,0.15,4.4294
0.55,0.01,4.837
0.17,0.02,2.0187
0.02,0.88,-0.87917
0.29,0.21,3.0183
0.49,0.7,3.6681
0.99,0.18,0.57094
0.08,0.05,1.149
0.07,0.82,-0.47646
0,0.71,-0.3464
0.38,0.76,2.9988
0.37,0.26,3.8111
0.04,0.98,-0.9296
0.9,0.77,-0.16423
0.68,0.92,2.0614
0.1,0.76,-0.23638
0.37,0.99,2.401
0.43,0.86,3.0303
0.34,0.89,2.3002
0,0.85,-0.68161
0.94,0.79,-0.44505
0.93,0.62,0.0091358
0.51,0.64,3.6812
0.82,0.98,0.15794
0.1,0.21,1.0247
0.65,0.21,3.6917
0.5,0.22,4.4998
0.58,0.66,3.4538
0.43,0.15,4.5586
0.85,0.67,0.54183
0.54,0.54,3.9267
0.55,0.14,4.7175
0.01,0.93,-0.94882
0.85,0.6,0.49147
0.13,0.87,-0.11936
0.31,0.21,3.2586
0.27,0.27,2.7253
0.21,0.22,2.0722
0.95,0.87,-0.58016
0.02,0.91,-0.82183
0.07,0.84,-0.53809
0.24,0.55,1.7427
0.27,0.95,1.3318
0.85,0.26,1.2402
0.04,0.7,-0.25197
0.65,0.48,3.2266
0.52,0.67,3.7013
0.37,0.57,3.3207
0.86,0.53,0.61923
0.32,0.15,3.6215
0.62,0.48,3.5238
0.68,0.07,3.7397
0.05,0.58,0.018196
0.93,0.93,-0.59933
0.16,0.18,1.6322
0.17,0.11,1.8562
0.22,0.16,2.2257
0.87,0.36,0.91402
0.53,0.54,3.9835
0.73,0.85,1.611
0.51,0.91,3.1641
0.43,0.26,4.2541
0.89,0.08,1.3756
0.39,0.91,2.7554
0.38,0.03,4.3873
0.73,0.09,3.0628
0.42,0.38,4.0088
0.29,0.29,2.9016
0.99,0.29,0.46046
0.92,0.33,0.56353
0.72,0.01,3.3492
0.8,0.88,0.61594
0.3,0.52,2.5854
0.3,0.8,2.0033
0.59,0.07,4.4768
0.74,0.28,2.4383
0.23,0.6,1.6243
0.15,0.95,-0.049566
0.76,0.13,2.5728
0.38,0.68,3.0622
0.87,0.06,1.469
0.2,0.79,0.79363
0.56,0.31,4.2681
0.47,0.14,4.6123
0.48,0.54,3.8796
0.74,0.08,3.0657
0.05,0.93,-0.73901
0.84,0.97,0.012461
0,0.22,0.59134
0.71,0.53,2.5553
0.36,0.52,3.2184
0.67,0.39,3.1221
0.58,0.17,4.4949
0.38,0.23,3.9974
0.21,0.61,1.3293
0.52,0.58,3.9663
0.14,0.58,0.6239
0.19,0.14,2.0449
0.93,0.06,1.0249
0.2,0.07,2.253
0.17,0.29,1.4229
0.35,0.79,2.5052
0.15,0.7,0.33273
0.45,0.97,2.987
0.17,0.41,1.2934
0.2,0.95,0.4103
0.14,0.13,1.4792
0.27,0,3.233
0.37,0.51,3.2848
0.81,0.07,2.1571
0.77,0.52,1.7312
0.61,0.79,2.953
0.74,0.4,2.2579
0.18,0.5,1.2021
0.32,0.49,2.7823
0.53,0.07,4.8788
0.25,0.12,2.6886
0.58,0.03,4.6372
0.24,0.02,2.875
0.99,0.95,-0.85947
0.04,0.64,-0.25163
0.17,0.48,1.0984
0.89,0.68,0.022753
0.26,0.48,2.1436
0.29,0.93,1.6608
0.47,0.64,3.7039
0.93,0.05,1.141
0.7,0.97,1.7251
0.82,0.56,0.9392
0.87,0.13,1.4021
0.35,0.78,2.6169
0.84,0.36,1.0229
0.42,0.8,3.1283
0.77,0.99,0.76636
0.89,0.95,-0.43139
0.03,0.32,0.36625
0.02,0.57,-0.14712
0.88,0.01,1.5339
0.06,0.69,-0.40579
0.36,0.47,3.2894
0.94,0.73,-0.22946
0.34,0.1,3.8608
0.51,0.13,4.7551
0.27,0.32,2.6838
0.61,0.43,3.7661
0.88,0.8,0.015214
0.34,0.14,3.8021
0.17,0.53,0.93463
0.23,0.45,1.7654
0.34,0.91,2.2778
0.94,0.34,0.36029
0.4,0.67,3.2516
0.07,0.09,1.0329
0.51,0.62,3.7364
0.78,0.47,1.6259
0.85,0.09,1.6034
0.26,0.82,1.4283
0.84,0.18,1.4957
0.46,0.55,3.7836
0.09,0.49,0.40874
0.51,0.37,4.2235
0.88,0.38,0.70988
0.1,0.85,-0.28142
0.12,0.32,0.90676
0.46,0.81,3.3636
0.78,0.74,1.1598
0.6,0.42,3.7853
0.27,1,1.1712
0.88,0.03,1.5277
0.93,0.71,-0.23715
0.08,0.07,1.1455
0.52,0.83,3.2423
0,0.69,-0.39575
0.63,0.06,4.1973
0.69,0.97,1.7966
0.21,0.81,0.88838
0.76,0.37,2.0786
1,0.35,0.27502
0.61,0.87,2.7057
0.02,0.03,1.0566
0.01,0.45,0.019301
0.17,0.92,0.27623
0.69,0.07,3.5814
0.09,0.86,-0.4101
0.03,0.5,0.085679
0.96,0.29,0.50838
1,0.34,0.34305
0.43,0.12,4.5441
0.44,0.6,3.6703
0.09,0.43,0.43956
0.73,0.75,1.7996
0.75,0.98,1.1038
0.24,0.66,1.542
0.76,0.96,0.98826
0.69,0.23,3.2799
0.83,0.57,0.89615
0.12,0.64,0.31816
0.46,0.21,4.44
0.09,0.91,-0.44338
0.93,0.12,1.0203
0.2,0.87,0.53026
0.82,0.01,2.1993
0.39,0.73,3.0435
0.66,0.29,3.429
0.2,0.05,2.36
1,0.48,0.099978
0.14,0.29,1.1954
